date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,adx,cci,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
1999-12-07,31.0,31.81,29.69,31.75,15.875,4177500.0,0.0,1.0,0.986,15.219,15.3523,75.3737,72848400.0,,,,92.8115,84.8033,52.5917,65.9204,20.0,100.0,13.6908,15.219,16.7472,74248373.5332,0
1999-12-08,31.5,31.94,29.75,29.75,14.875,3512600.0,0.0,1.0,-6.2992,15.444,15.1932,50.1741,65823200.0,,,,80.3567,88.8002,48.2739,-11.2561,0.0,100.0,14.7361,15.444,16.1519,67223173.5332,0
1999-12-09,30.69,31.0,28.81,29.38,14.69,3578500.0,0.0,1.0,-1.2437,15.332,15.0255,46.5734,58666200.0,,,,56.376,76.5147,38.6385,-128.2358,0.0,80.0,14.3962,15.332,16.2678,63791735.1771,0
1999-12-10,29.38,29.63,28.13,29.25,14.625,3102800.0,0.0,1.0,-0.4425,15.157,14.892,45.1503,52460600.0,,,,33.2625,56.6651,34.4113,-115.7275,100.0,60.0,14.0937,15.157,16.2203,66853164.5104,0
1999-12-13,28.5,29.94,28.19,29.07,14.535,1963100.0,0.0,1.0,-0.6154,14.92,14.773,42.8825,48534400.0,,,,25.5756,38.4047,28.8894,-73.8907,80.0,40.0,13.9393,14.92,15.9007,66875599.939,0
1999-12-14,29.94,29.94,27.56,27.63,13.815,2727600.0,0.0,1.0,-4.9536,14.508,14.4537,28.5449,43079200.0,,,,18.5555,25.7979,27.9739,-102.8292,100.0,20.0,13.78,14.508,15.236,61741294.0566,0
1999-12-15,27.38,28.56,26.5,27.13,13.565,3213900.0,0.0,1.0,-1.8096,14.246,14.1574,24.9275,36651400.0,,,,13.4234,19.1848,31.5289,-132.649,100.0,0.0,13.3191,14.246,15.1729,59245061.0469,1
1999-12-16,27.63,29.5,27.63,29.5,14.75,2939100.0,0.0,1.0,8.7357,14.258,14.355,57.1222,42529600.0,,,,34.2692,22.0827,27.4078,42.1738,80.0,0.0,13.3072,14.258,15.2088,65123261.0469,0
1999-12-17,30.0,30.0,28.5,28.81,14.405,2523000.0,0.0,1.0,-2.339,14.214,14.3716,49.4108,37483600.0,-0.3436,0.753,1.0965,55.7364,34.4763,22.7828,66.355,60.0,100.0,13.3163,14.214,15.1117,62162941.0469,1
1999-12-20,28.63,29.88,28.19,29.25,14.625,2373100.0,0.0,1.0,1.5272,14.232,14.4561,54.3257,42229800.0,-0.3037,0.717,1.0206,77.2602,55.7553,19.3728,65.013,40.0,80.0,13.3062,14.232,15.1578,63370554.0647,1
1999-12-21,29.5,30.63,29.25,30.06,15.03,2407100.0,0.0,1.0,2.7692,14.475,14.6474,62.6711,47044000.0,-0.2462,0.7129,0.9591,76.9233,69.9733,19.1112,119.856,20.0,100.0,13.4793,14.475,15.4707,64207806.2386,0
1999-12-22,30.0,30.06,28.69,28.81,14.405,1213300.0,0.0,1.0,-4.1583,14.643,14.5666,46.3386,44617400.0,-0.2459,0.6517,0.8976,68.0344,74.0727,15.7752,-14.6252,0.0,80.0,14.1741,14.643,15.1119,62206304.0488,0
1999-12-23,29.0,29.31,28.38,28.63,14.315,1233000.0,0.0,1.0,-0.6248,14.556,14.4827,44.2623,42151400.0,-0.2467,0.5892,0.8359,47.8549,64.2709,15.1991,-101.4815,0.0,60.0,14.0398,14.556,15.0722,61066110.5004,1
1999-12-27,28.56,29.0,28.0,28.94,14.47,1235800.0,0.0,1.0,1.0828,14.569,14.4785,49.1658,44623000.0,-0.2321,0.5458,0.7779,31.0359,48.9751,17.1969,-92.2039,100.0,40.0,14.0655,14.569,15.0725,63241118.5004,0
1999-12-28,28.5,28.94,28.38,28.75,14.375,780300.0,0.0,1.0,-0.6565,14.519,14.444,46.0613,43062400.0,-0.2239,0.4981,0.7219,27.4304,35.4404,18.7952,-57.6599,80.0,20.0,13.9983,14.519,15.0397,63742739.929,0
1999-12-29,28.75,28.81,28.0,28.44,14.22,522600.0,0.0,1.0,-1.0783,14.357,14.3693,40.8062,42017200.0,-0.2235,0.4426,0.6661,28.5393,29.0019,22.7771,-114.4663,100.0,0.0,14.1875,14.357,14.5265,63833065.8549,1
1999-12-30,28.5,28.75,27.81,28.44,14.22,892400.0,0.0,1.0,0.0,14.32,14.3196,40.8062,42017200.0,-0.2176,0.3941,0.6117,30.6254,28.8651,27.2065,-100.9588,100.0,0.0,14.1291,14.32,14.5109,64440657.3443,1
1999-12-31,28.44,28.94,28.0,28.94,14.47,882800.0,0.0,1.0,1.7581,14.351,14.3697,54.025,43782800.0,-0.1921,0.3716,0.5636,52.7724,37.3124,27.4876,41.7495,80.0,0.0,14.1261,14.351,14.5759,66206257.3443,1
2000-01-03,29.94,31.19,29.38,31.0,15.5,3921600.0,0.0,1.0,7.1182,14.557,14.7465,78.6169,51626000.0,-0.1055,0.4318,0.5373,77.1122,53.5034,32.3422,166.6667,60.0,100.0,13.5949,14.557,15.5191,72402818.6702,0
2000-01-04,30.25,31.0,29.19,29.25,14.625,3145100.0,0.0,1.0,-5.6452,14.607,14.706,50.1382,45335800.0,-0.1064,0.4043,0.5107,77.3134,69.066,34.3477,54.4903,40.0,80.0,13.6621,14.607,15.5519,66529648.5045,1
