date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Signal,MACD,MACD_Hist,SlowK,SlowD,adx,cci,Aroon Up,Aroon Down,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
1999-12-14,29.94,29.94,27.56,27.63,13.815,2727600.0,0.0,1.0,-4.9536,14.257,13.9559,58.6875,43079200.0,,,,18.5555,25.7979,,-2.9171,80.0,5.0,12.4546,14.257,16.0594,61741294.0566,0
1999-12-15,27.38,28.56,26.5,27.13,13.565,3213900.0,0.0,1.0,-1.8096,14.2915,13.9187,57.1971,36651400.0,,,,13.4234,19.1848,,-54.2643,75.0,0.0,12.5718,14.2915,16.0112,59245061.0469,1
1999-12-16,27.63,29.5,27.63,29.5,14.75,2939100.0,0.0,1.0,8.7357,14.3618,13.9978,62.0108,42529600.0,,,,34.2692,22.0827,,12.8705,70.0,5.0,12.6882,14.3618,16.0353,65123261.0469,0
1999-12-17,30.0,30.0,28.5,28.81,14.405,2523000.0,0.0,1.0,-2.339,14.432,14.0366,59.9448,37483600.0,1.0965,0.753,-0.3436,55.7364,34.4763,,18.6849,65.0,0.0,12.8795,14.432,15.9845,62162941.0469,1
1999-12-20,28.63,29.88,28.19,29.25,14.625,2373100.0,0.0,1.0,1.5272,14.485,14.0927,60.821,42229800.0,1.0206,0.717,-0.3037,77.2602,55.7553,,13.4631,60.0,10.0,12.9829,14.485,15.9871,63370554.0647,1
1999-12-21,29.5,30.63,29.25,30.06,15.03,2407100.0,0.0,1.0,2.7692,14.563,14.1819,62.4142,47044000.0,0.9591,0.7129,-0.2462,76.9233,69.9733,,61.9746,55.0,5.0,13.1189,14.563,16.0071,64207806.2386,0
1999-12-22,30.0,30.06,28.69,28.81,14.405,1213300.0,0.0,1.0,-4.1583,14.613,14.2032,58.5467,44617400.0,0.8976,0.6517,-0.2459,68.0344,74.0727,,0.4901,50.0,0.0,13.2669,14.613,15.9591,62206304.0488,0
1999-12-23,29.0,29.31,28.38,28.63,14.315,1233000.0,0.0,1.0,-0.6248,14.6475,14.2138,58.002,42151400.0,0.8359,0.5892,-0.2467,47.8549,64.2709,,-38.0425,45.0,70.0,13.3708,14.6475,15.9242,61066110.5004,1
1999-12-27,28.56,29.0,28.0,28.94,14.47,1235800.0,0.0,1.0,1.0828,14.6787,14.2382,58.6987,44623000.0,0.7779,0.5458,-0.2321,31.0359,48.9751,,-55.7442,40.0,65.0,13.4526,14.6787,15.9049,63241118.5004,0
1999-12-28,28.5,28.94,28.38,28.75,14.375,780300.0,0.0,1.0,-0.6565,14.635,14.2512,58.0771,43062400.0,0.7219,0.4981,-0.2239,27.4304,35.4404,43.5091,-48.0229,35.0,60.0,13.4313,14.635,15.8387,63742739.929,0
1999-12-29,28.75,28.81,28.0,28.44,14.22,522600.0,0.0,1.0,-1.0783,14.6398,14.2483,57.0397,42017200.0,0.6661,0.4426,-0.2235,28.5393,29.0019,42.3421,-69.9336,30.0,55.0,13.4434,14.6398,15.8361,63833065.8549,1
1999-12-30,28.5,28.75,27.81,28.44,14.22,892400.0,0.0,1.0,0.0,14.6633,14.2456,57.0397,42017200.0,0.6117,0.3941,-0.2176,30.6254,28.8651,41.1439,-82.6652,25.0,50.0,13.5204,14.6633,15.8061,64440657.3443,1
1999-12-31,28.44,28.94,28.0,28.94,14.47,882800.0,0.0,1.0,1.7581,14.6243,14.267,58.3687,43782800.0,0.5636,0.3716,-0.1921,52.7724,37.3124,40.0687,-52.8434,20.0,45.0,13.5113,14.6243,15.7372,66206257.3443,1
2000-01-03,29.94,31.19,29.38,31.0,15.5,3921600.0,0.0,1.0,7.1182,14.6243,14.3844,63.2931,51626000.0,0.5373,0.4318,-0.1055,77.1122,53.5034,39.6958,113.0544,15.0,40.0,13.5113,14.6243,15.7372,72402818.6702,0
2000-01-04,30.25,31.0,29.19,29.25,14.625,3145100.0,0.0,1.0,-5.6452,14.5695,14.4073,57.2387,45335800.0,0.5107,0.4043,-0.1064,77.3134,69.066,39.2477,65.2145,10.0,35.0,13.5763,14.5695,15.5627,66529648.5045,1
2000-01-05,29.06,29.38,28.0,29.31,14.655,4102300.0,0.0,1.0,0.2051,14.5085,14.4309,57.3858,53540400.0,0.4847,0.3806,-0.1041,60.4536,71.6264,38.2645,-18.6525,5.0,30.0,13.7134,14.5085,15.3036,73901897.7799,1
2000-01-06,31.0,32.0,30.5,32.0,16.0,5744700.0,0.0,1.0,9.1778,14.5648,14.5803,63.3383,65029800.0,0.4807,0.4649,-0.0158,62.3274,66.6982,37.9941,260.9847,100.0,25.0,13.5462,14.5648,15.5833,85391297.7799,1
2000-01-07,30.81,32.81,30.75,32.5,16.25,4271700.0,0.0,1.0,1.5625,14.6428,14.7393,64.3136,73573200.0,0.4937,0.5456,0.0519,79.3113,67.3641,37.9083,241.0549,100.0,20.0,13.3865,14.6428,15.899,91363383.2167,1
2000-01-10,33.5,35.5,33.38,35.0,17.5,6458200.0,0.0,1.0,7.6923,14.7865,15.0023,68.6966,86489600.0,0.5354,0.7024,0.1669,95.6295,79.0894,38.3088,297.9531,100.0,15.0,13.0178,14.7865,16.5552,98187141.7073,0
2000-01-11,35.0,35.94,33.94,34.06,17.03,3339900.0,0.0,1.0,-2.6857,14.9113,15.1954,65.512,79809800.0,0.5843,0.7797,0.1954,87.7369,87.5592,38.7578,221.2831,100.0,10.0,12.8963,14.9113,16.9262,92308917.7073,1
2000-01-12,34.0,36.75,33.63,36.25,18.125,4409300.0,0.0,1.0,6.4298,15.1268,15.4744,69.0326,88628400.0,0.6512,0.9187,0.2675,87.2186,90.195,39.308,199.7636,100.0,5.0,12.7394,15.1268,17.5141,98301043.3483,1
2000-01-13,36.75,37.75,35.13,37.75,18.875,3771100.0,0.0,1.0,4.1379,15.3923,15.7983,71.1555,96170600.0,0.7363,1.077,0.3407,89.4408,88.1321,39.9748,193.8191,100.0,0.0,12.6102,15.3923,18.1743,105843243.3483,1
2000-01-14,37.13,40.56,37.0,40.38,20.19,7503900.0,0.0,1.0,6.9669,15.6643,16.2165,74.3951,111178400.0,0.8478,1.2936,0.4458,96.4977,91.0524,40.9521,205.0013,100.0,0.0,12.2052,15.6643,19.1233,119333400.6517,0
2000-01-18,40.0,41.25,38.69,39.0,19.5,5435700.0,0.0,1.0,-3.4175,15.919,16.5292,70.0496,100307000.0,0.957,1.3936,0.4366,89.3218,91.7534,41.9538,171.4327,100.0,40.0,12.1334,15.919,19.7046,111094917.8392,1
2000-01-19,39.75,43.0,38.81,39.19,19.595,4462200.0,0.0,1.0,0.4872,16.1675,16.8212,70.3011,109231400.0,1.0583,1.4636,0.4053,75.7679,87.1958,43.0771,152.5885,100.0,35.0,12.1115,16.1675,20.2235,103789263.4239,0
2000-01-20,43.5,45.13,38.0,39.0,19.5,14423600.0,0.0,1.0,-0.4848,16.391,17.0763,69.6853,80384200.0,1.1455,1.4942,0.3487,56.1703,73.7533,44.3246,133.7431,100.0,30.0,12.1232,16.391,20.6588,83033844.6301,0
2000-01-21,39.13,39.13,36.13,37.88,18.94,5857500.0,0.0,1.0,-2.8718,16.6178,17.2538,66.0933,68669200.0,1.2077,1.4565,0.2488,39.1609,57.033,44.7901,74.0922,95.0,25.0,12.3144,16.6178,20.9211,84986344.6301,0
2000-01-24,37.25,38.44,33.81,34.5,17.25,5134900.0,0.0,1.0,-8.9229,16.7645,17.2535,56.7937,58399400.0,1.2212,1.2755,0.0542,21.4133,38.9148,44.4593,34.5433,90.0,20.0,12.5869,16.7645,20.9421,77777521.7359,1
2000-01-25,34.56,40.5,34.5,40.0,20.0,5402900.0,0.0,1.0,15.942,17.041,17.515,65.1845,69205200.0,1.2447,1.3385,0.0938,26.7406,29.1049,44.4108,73.4852,85.0,15.0,12.7764,17.041,21.3056,86782355.0693,0
2000-01-26,37.63,38.25,36.56,37.0,18.5,3798900.0,0.0,1.0,-7.5,17.2473,17.6088,58.6453,61607400.0,1.2463,1.253,0.0067,29.6525,25.9355,44.3647,50.5642,80.0,10.0,13.1216,17.2473,21.3729,83140805.9568,0
2000-01-27,38.0,39.0,36.88,36.94,18.47,3083900.0,0.0,1.0,-0.1622,17.4598,17.6909,58.5217,55439600.0,1.2309,1.1693,-0.0616,43.2161,33.2031,44.4157,51.5233,75.0,5.0,13.5474,17.4598,21.3721,77322126.7116,0
2000-01-28,37.19,37.75,34.38,35.25,17.625,3433600.0,0.0,1.0,-4.575,17.63,17.6846,55.08,48572400.0,1.1894,1.023,-0.1663,32.1637,35.0108,43.6992,11.1015,70.0,0.0,14.011,17.63,21.249,74000602.676,1
2000-01-31,35.25,36.25,34.44,36.0,18.0,2144400.0,0.0,1.0,2.1277,17.8065,17.7146,56.2811,52861200.0,1.1368,0.9267,-0.2101,31.5938,35.6579,43.0185,-1.2715,65.0,15.0,14.4895,17.8065,21.1235,77104651.2947,1
2000-02-01,36.5,36.75,35.0,36.56,18.28,2555600.0,0.0,1.0,1.5556,17.9455,17.7685,57.1809,57972400.0,1.0821,0.863,-0.2191,31.7271,31.8282,42.4515,5.5734,60.0,10.0,14.7981,17.9455,21.0929,81105990.7233,0
2000-02-02,36.31,36.5,35.56,36.06,18.03,2038100.0,0.0,1.0,-1.3676,18.1157,17.7934,56.0958,53896200.0,1.0223,0.7833,-0.239,36.6735,33.3315,41.9129,-5.0419,55.0,5.0,15.3614,18.1157,20.8701,81366173.702,1
2000-02-03,36.75,39.38,36.31,39.0,19.5,4761900.0,0.0,1.0,8.1531,18.358,17.9559,60.7108,63420000.0,0.9837,0.8292,-0.1545,58.6499,42.3502,41.8349,53.7753,50.0,0.0,16.0472,18.358,20.6688,88532290.3144,0
2000-02-04,38.56,40.13,38.38,38.56,19.28,3554600.0,0.0,1.0,-1.1282,18.522,18.082,59.7218,56310800.0,0.9546,0.8381,-0.1164,67.0571,54.1268,41.8611,74.4041,45.0,0.0,16.4507,18.522,20.5933,82885554.3144,1
2000-02-07,38.56,41.31,38.13,41.31,20.655,3028300.0,0.0,1.0,7.1317,18.7422,18.3271,63.6206,62367400.0,0.9527,0.9453,-0.0074,88.2692,71.3254,42.0381,112.328,40.0,0.0,16.7489,18.7422,20.7356,88942154.3144,1
2000-02-08,41.0,42.0,39.19,41.38,20.69,4291900.0,0.0,1.0,0.1695,18.9017,18.5521,63.7147,70951200.0,0.9664,1.0213,0.0548,87.5935,80.9733,42.2921,122.7782,35.0,0.0,16.8228,18.9017,20.9807,93738085.2753,1
2000-02-09,41.38,42.38,40.5,42.06,21.03,3906800.0,0.0,1.0,1.6433,19.1017,18.7881,64.6498,78764800.0,0.9924,1.0963,0.1039,95.0336,90.2988,42.5808,137.2198,30.0,5.0,17.012,19.1017,21.1915,98891736.3391,1
2000-02-10,42.06,42.75,41.31,42.5,21.25,3186800.0,0.0,1.0,1.0461,19.258,19.0226,65.2596,85138400.0,1.0259,1.1601,0.1342,93.2299,91.9523,42.9018,139.1696,25.0,0.0,17.0216,19.258,21.4944,103052280.7835,1
2000-02-11,42.75,45.5,41.81,45.5,22.75,7466700.0,0.0,1.0,7.0588,19.4517,19.3776,69.0868,100071800.0,1.084,1.3165,0.2325,96.439,94.9008,43.5219,181.5444,100.0,30.0,16.7571,19.4517,22.1464,117985680.7835,0
2000-02-14,44.81,45.5,42.13,43.25,21.625,4372600.0,0.0,1.0,-4.9451,19.5235,19.5916,63.5589,91326600.0,1.1341,1.3343,0.2002,86.3104,91.9931,44.111,137.9276,100.0,25.0,16.6817,19.5235,22.3653,115053314.018,1
2000-02-15,43.5,44.75,42.38,43.5,21.75,4336900.0,0.0,1.0,0.578,19.636,19.7972,63.8968,100000400.0,1.1759,1.3431,0.1672,74.7808,85.8434,44.6707,118.1443,95.0,20.0,16.6332,19.636,22.6388,114577535.9589,1
2000-02-16,43.75,45.19,43.38,43.75,21.875,3789900.0,0.0,1.0,0.5747,19.75,19.995,64.2457,107580200.0,1.2096,1.3446,0.1349,60.8587,73.9833,45.2527,118.3182,90.0,15.0,16.5929,19.75,22.9071,110096659.7158,0
2000-02-17,44.19,44.19,42.13,43.0,21.5,2721300.0,0.0,1.0,-1.7143,19.85,20.1384,62.3429,102137600.0,1.2278,1.3005,0.0727,50.1611,61.9335,45.312,85.7473,85.0,10.0,16.6055,19.85,23.0945,109251207.2886,1
2000-02-18,42.38,43.63,40.0,43.0,21.5,3225500.0,0.0,1.0,0.0,19.978,20.2681,62.3429,102137600.0,1.2325,1.2512,0.0187,48.3429,53.1209,44.6234,57.8894,80.0,5.0,16.6855,19.978,23.2705,113463017.206,0
2000-02-22,40.25,42.44,39.63,41.81,20.905,2711300.0,0.0,1.0,-2.7674,20.1607,20.3287,59.2574,96715000.0,1.2162,1.1508,-0.0653,42.0011,46.835,43.849,31.1873,75.0,0.0,17.0964,20.1607,23.2251,116454131.085,0
2000-02-23,41.69,41.94,41.06,41.06,20.53,1465200.0,0.0,1.0,-1.7938,20.1872,20.3479,57.3735,93784600.0,1.1787,1.0291,-0.1496,39.8245,43.3895,43.1133,29.4678,70.0,15.0,17.1198,20.1872,23.2547,113523731.085,1
2000-02-24,41.5,42.94,40.69,42.56,21.28,2045700.0,0.0,1.0,3.6532,20.3262,20.4367,60.0475,97876000.0,1.1394,0.9819,-0.1575,43.0608,41.6288,42.5982,43.2962,65.0,10.0,17.326,20.3262,23.3265,116233147.085,0
2000-02-25,41.56,42.38,39.25,40.5,20.25,5455700.0,0.0,1.0,-4.8402,20.4152,20.4189,55.0549,86964600.0,1.0818,0.8515,-0.2303,39.5042,40.7965,41.6249,3.196,60.0,5.0,17.5374,20.4152,23.2931,114036922.8038,0
2000-02-28,40.31,40.31,37.63,37.75,18.875,4423500.0,0.0,1.0,-6.7901,20.4777,20.2718,49.2955,78117600.0,0.9915,0.63,-0.3614,31.6844,38.0831,40.211,-67.6774,55.0,0.0,17.7975,20.4777,23.158,105982191.4605,1
